Symbol,Notes,SharedHeld,AvgPrice
AABA,,,
AAXN,,10,
ABT,,,
ADBE,,,
ADSK,,,
AMD,,782,
AMZN,,,
ANET,,,
APLE,,,
APPF,,,
APPN,,,
ATVI,,,
BIDU,,,
CME,,,
DIS,,,
ENPH,,,
FGEN,,,
FICO,,,
FIVN,,,
GOOGL,,,
HD,,,
HSY,,,
INTC,,,
ISRG,,,
JD,,,
JNJ,,,
KURA,,,
LCI,,,
LOPE,,,
MA,,,
MAR,,,
MB,,,
MDB,,,
MDGL,,,
MELI,,,
MMM,,,
MSFT,,,
MTN,,,
MU,,,
NFLX,,,
NKTR,,6,
NTNX,,,
OKTA,,,
PEP,,,
PYPL,,,
RDFN,,,
RHE,,,
SHOP,,,
SPLK,,,
SQ,,,
SRNE,,,
STAG,,,
TCEHY,,3,
TLND,,,
TTD,,,
WDC,,,
WM,,,
INTU,,,
PAYC,,,
TWOU,,,
TDOC,,,
BZUN,,,
UNH,,,
BABA,,,
LGND,,,
CELG,,,
IBM,,,
